Number_Inserted,Time_Taken
50000, 0.013000
100000, 0.030000
150000, 0.052000
200000, 0.074000
250000, 0.090000
300000, 0.121000
350000, 0.143000
400000, 0.173000
450000, 0.189000
500000, 0.212000
550000, 0.255000
600000, 0.278000
650000, 0.295000
700000, 0.325000
750000, 0.348000
800000, 0.394000
850000,0.411
900000, 0.434000
950000, 0.465000
1000000, 0.492000
1050000, 0.559000
1100000, 0.575000
1150000, 0.594000
1200000, 0.617000
1250000, 0.636000
1300000, 0.652000
1350000, 0.683000
1400000, 0.701000
1450000, 0.725000
1500000, 0.742000
1550000, 0.762000
1600000, 0.806000
1650000, 0.825000
1700000, 0.842000
1750000, 0.865000
1800000, 0.884000
1850000, 0.915000
1900000, 0.929000
1950000, 0.949000
2000000, 0.972000
2050000, 0.992000
2100000, 1.070000
2150000, 1.086000
2200000, 1.105000
2250000, 1.128000
2300000, 1.148000
2350000, 1.164000
2400000, 1.195000
2450000, 1.214000
2500000, 1.237000
2550000, 1.255000
2600000, 1.274000
2650000, 1.318000
2700000, 1.337000
2750000, 1.354000
2800000, 1.378000
2850000, 1.398000
2900000, 1.429000
2950000, 1.449000
3000000, 1.466000
3050000, 1.490000
3100000, 1.510000
3150000, 1.585000
3200000, 1.602000
3250000, 1.622000
3300000, 1.646000
3350000, 1.665000
3400000, 1.682000
3450000, 1.713000
3500000, 1.732000
3550000, 1.756000
3600000, 1.774000
3650000, 1.793000
3700000, 1.838000
3750000, 1.859000
3800000, 1.876000
3850000, 1.900000
3900000, 1.921000
3950000, 1.952000
4000000, 1.973000
4050000, 1.990000
4100000, 2.015000
4150000, 2.035000
4200000, 2.170000
4250000, 2.187000
4300000, 2.207000
4350000, 2.231000
4400000, 2.252000
4450000, 2.270000
4500000, 2.302000
4550000, 2.322000
4600000, 2.347000
4650000, 2.365000
4700000, 2.385000
4750000, 2.433000
4800000, 2.454000
4850000, 2.480000
4900000, 2.498000
4950000, 2.519000
5000000, 2.550000
5050000, 2.570000
5100000, 2.588000
5150000, 2.612000
5200000, 2.631000
5250000, 2.706000
5300000, 2.723000
5350000, 2.743000
5400000, 2.767000
5450000, 2.788000
5500000, 2.805000
5550000, 2.836000
5600000, 2.856000
5650000, 2.881000
5700000, 2.899000
5750000, 2.919000
5800000, 2.965000
5850000, 2.986000
5900000, 3.011000
5950000, 3.030000
6000000, 3.051000
6050000, 3.084000
6100000, 3.113000
6150000, 3.130000
6200000, 3.155000
6250000, 3.176000
6300000, 3.313000
6350000, 3.330000
6400000, 3.351000
6450000, 3.375000
6500000, 3.396000
6550000, 3.414000
6600000, 3.447000
6650000, 3.468000
6700000, 3.493000
6750000, 3.511000
6800000, 3.534000
6850000, 3.583000
6900000, 3.604000
6950000, 3.631000
7000000, 3.650000
7050000, 3.673000
7100000, 3.706000
7150000, 3.728000
7200000, 3.747000
7250000, 3.773000
7300000, 3.794000
7350000, 3.873000
7400000, 3.891000
7450000, 3.913000
7500000, 3.937000
7550000, 3.960000
7600000, 3.977000
7650000, 4.010000
7700000, 4.031000
7750000, 4.057000
7800000, 4.078000
7850000, 4.096000
7900000, 4.143000
7950000, 4.164000
8000000, 4.190000
8050000, 4.208000
8100000, 4.228000
8150000, 4.260000
8200000, 4.282000
8250000, 4.301000
8300000, 4.326000
8350000, 4.349000
8400000, 4.630000
8450000, 4.648000
8500000, 4.672000
8550000, 4.698000
8600000, 4.719000
8650000, 4.737000
8700000, 4.770000
8750000, 4.791000
8800000, 4.814000
8850000, 4.837000
8900000, 4.855000
8950000, 4.905000
9000000, 4.927000
9050000, 4.955000
9100000, 4.974000
9150000, 4.996000
9200000, 5.030000
9250000, 5.054000
9300000, 5.073000
9350000, 5.099000
9400000, 5.121000
9450000, 5.204000
9500000, 5.221000
9550000, 5.242000
9600000, 5.268000
9650000, 5.290000
9700000, 5.326000
9750000, 5.344000
9800000, 5.366000
9850000, 5.393000
9900000, 5.416000
9950000, 5.435000
10000000, 5.483000
